Order ID,Sales Group,Shipping Point,Payment Terms,Incoterms,Sales Org,Distr Channel,Company Code,Currency,Item Category,Product,Customer ID,Customer Country,Recipient ID,Recipient Country,Bill-to ID,Bill-to Country,Payer ID,Payer Country
0002162289/10,[PREDICT],SP0300,PT26,DDP,S0300,DC90,NL30,EUR,TAN,8265534915,6667163616,DE,6667163616,DE,4753725613,DE,4753725613,DE
0002048090/20,[PREDICT],[PREDICT],[PREDICT],[PREDICT],S1300,DC10,D015,EUR,TAN,6803215503,8682177386,DE,8682177386,DE,8682177386,DE,8682177386,DE
0002358149/31,SG323,SP0001,[PREDICT],DAP,S0010,DC10,D011,USD,TAN,9512801440,3356660324,IE,9011248866,DE,744697549,IE,744697549,IE
0002405388/20,SG705,SP0001,PT32,FCA,S0010,DC10,D011,EUR,ZTCH,3378332345,4742731422,TR,4742731422,TR,4742731422,TR,4742731422,TR
0002380334/33,SG323,SP0001,[PREDICT],DAP,S0010,DC10,D011,USD,TAN,8105975517,3356660324,IE,5975022201,DE,744697549,IE,744697549,IE
0002072587/10,SG301,SP0300,PT26,DDP,S0300,DC90,NL30,EUR,TAN,8265534915,6667163616,DE,6667163616,DE,4753725613,DE,4753725613,DE
0002126065/110,SG487,SP0400,PT95,CIP,S0400,DC10,UK10,GBP,TAN,2274481429,9481463302,GB,1336069523,GB,5529038695,GB,9481463302,GB
0002006620/30,SG767,SP0001,PTC6,DDP,S0010,DC10,D011,EUR,TAN,9473119861,6557510799,DE,4881945743,DE,9927335532,DE,9927335532,DE
0002031836/10,SGR53,SP0001,PT32,FCA,S0010,DC10,D011,USD,TAN,5433793684,13234652,TM,13234652,TM,13234652,TM,13234652,TM
0002024572/20,SG705,SP0001,PT32,FCA,S0010,DC10,D011,EUR,TAN,5447213867,4742731422,TR,4742731422,TR,4742731422,TR,4742731422,TR
0002155684/10,SG480,SP2000,PT32,DDP,S2000,DC10,PL20,EUR,TAN,3012475692,8610831516,ES,9200560019,NL,8610831516,ES,8610831516,ES
0002321793/20,SG250,SP0300,PT70,DDP,S0300,DC10,NL30,EUR,ZTCH,3971394811,8349353204,NL,6965004159,NL,8288862082,NL,8288862082,NL
0002444571/20,SG480,SP2000,PT32,DDP,S2000,DC10,PL20,EUR,ZTCH,3012475692,8610831516,ES,9200560019,NL,8610831516,ES,8610831516,ES
0002254966/10,SG759,SP0301,PT33,DDP,S0300,DC10,NL30,EUR,TAN,7102200822,3983518606,FR,7575198055,FR,3983518606,FR,3983518606,FR
0002017089/20,SG991,SP0001,PT01,DDP,S0010,DC10,D011,EUR,TAN,7538584669,9262820794,DE,9262820794,DE,9262820794,DE,9262820794,DE
0002440528/10,SG464,SP0300,PT70,DDP,S0300,DC10,NL30,EUR,TAN,1979353975,9163308947,AT,8021155383,AT,9163308947,AT,9163308947,AT
0002297737/350,SG159,SP4200,PT03,DDP,S4200,DC10,DK20,SEK,TAN,3250925965,8686364201,SE,7521123098,SE,8686364201,SE,8686364201,SE
0002334162/160,SG436,SP0001,PTC7,DDP,S0010,DC10,D011,EUR,TAN,9717633775,1916933160,DE,904656310,DE,1916933160,DE,1916933160,DE
0002027082/20,SG420,SP0002,PT232,DDP,S0010,DC10,D011,EUR,ZTCH,9027501626,1754951958,DE,1754951958,DE,1754951958,DE,1754951958,DE
0002148850/10,SG419,SP0001,PTD1,DDP,S0010,DC10,D011,EUR,TAN,6619643608,5558939796,DE,5558939796,DE,4814700273,DE,4814700273,DE
0002381725/110,SG421,SP0001,PTD1,DDP,S0010,DC10,D011,EUR,TAN,4069216876,5506299787,DE,615476128,DE,5506299787,DE,5506299787,DE
0002046747/50,SG301,SP0300,PT33,DDP,S0300,DC10,NL30,EUR,TAN,4544724887,8383348969,DE,8383348969,DE,8383348969,DE,8383348969,DE
0002071275/10,SG480,SP2000,PT32,DDP,S2000,DC10,PL20,EUR,TAN,2612386507,8610831516,ES,9200560019,NL,8610831516,ES,8610831516,ES
0002283492/40,SG789,SP0001,PT32,FCA,S0010,DC10,D011,EUR,ZTCH,6732356754,851548071,PL,1488654573,PL,851548071,PL,851548071,PL
0002051519/20,SG421,SP0001,PT202,DDP,S0010,DC10,D011,EUR,TAN,4802728616,8392793759,DE,8392793759,DE,8392793759,DE,8392793759,DE
0002038870/10,SG789,SP0001,PT33,DAP,S0010,DC10,D011,EUR,TAN,5947134018,4150938890,PL,5974139190,PL,4150938890,PL,4150938890,PL
0001988259/140,SG206,SP4200,PT32,DDP,S4200,DC10,DK20,GBP,TAN,4989350481,8146909609,GB,4209629923,GB,8146909609,GB,8146909609,GB
0002025126/10,SG419,SP0001,PT128,DDP,S0010,DC10,D011,EUR,TAN,1273360513,4845405727,DE,4845405727,DE,4845405727,DE,4845405727,DE
0002222479/10,SG303,SP0001,PT03,DDP,S0010,DC10,D011,EUR,TAN,2960411329,3401636466,DE,3401636466,DE,3401636466,DE,3401636466,DE
0002076504/30,SG705,SP0001,PT32,FCA,S0010,DC10,D011,EUR,TAN,5355995241,4742731422,TR,4742731422,TR,4742731422,TR,4742731422,TR
0002330995/10,SG486,SP0700,PT33,DAP,S0700,DC10,PL10,EUR,TAN,8878531160,4197928577,PL,4197928577,PL,4197928577,PL,4197928577,PL
0002123191/10,SG796,SP0700,PT33,DDP,S0700,DC10,PL10,EUR,TAN,5140665764,8470586969,PL,8470586969,PL,8470586969,PL,8470586969,PL
0002201693/31,SG323,SP0001,PT32,DDP,S0010,DC10,D011,USD,TAN,2672994939,1223020718,IE,5552611254,CH,744697549,IE,744697549,IE
0002327769/10,SG789,SP0700,PT32,DAP,S0700,DC10,PL10,PLN,TAN,6615602928,2365366960,PL,2365366960,PL,2365366960,PL,2365366960,PL
0002337701/150,SG421,SP0001,PT102,DDP,S0010,DC10,D011,EUR,TAN,7685927408,6929986647,DE,6929986647,DE,6929986647,DE,6929986647,DE
0002024626/20,SG301,SP0301,PT33,DDP,S0300,DC10,NL30,EUR,ZTCH,8165570012,8383348969,DE,5429586126,DE,8383348969,DE,8383348969,DE
0002433018/20,SG705,SP0300,PT32,FCA,S0300,DC60,NL30,EUR,ZTCH,4176713059,4742731422,TR,4742731422,TR,4742731422,TR,4742731422,TR
